Customer ID, INCOME , SAVINGS , DEBT , CLOTHING  , EDUCATION , ENTERTAINMENT , FINES , GAMBLING , GROCERIES , HEALTH , HOUSING , TAX , TRAVEL , UTILITIES , EXPENDITURE , CAT_GAMBLING ,CAT_DEBT,CAT_CREDIT_CARD,CAT_MORTGAGE,CAT_SAVINGS_ACCOUNT,CAT_DEPENDENTS,CREDIT_SCORE,DEFAULT
C1I0JM3J6J,"$22,191.00 ","$254,192.00 ","$14,122.00 ",$898.00 , $-   ,"$2,506.00 ", $-   ,$232.00 ,"$3,557.00 ","$2,456.00 ", $-   ,$121.00 ,"$9,249.00 ","$1,155.00 ","$20,174.00 ", Low ,1,0,0,1,0,642,0
C1IP5PJ22J,"$39,989.00 ","$383,894.00 ","$11,997.00 ","$1,008.00 ", $-   ,"$4,490.00 ", $-   ,$341.00 ,"$5,382.00 ","$5,613.00 ","$9,167.00 ",$200.00 ,"$11,756.00 ","$2,032.00 ","$39,989.00 ", Low ,1,0,0,1,0,630,0
C1J68EOLWI,"$68,682.00 ","$611,892.00 ","$49,950.00 ","$1,667.00 ", $-   ,"$9,012.00 ", $-   , $-   ,"$8,489.00 ","$4,662.00 ","$18,791.00 ",$492.00 ,"$15,155.00 ","$4,170.00 ","$62,438.00 ", No ,1,0,1,1,0,695,0
C1KAX16QFA, $-   ,"$5,872.00 ","$23,487.00 ", $-   , $-   , $-   , $-   , $-   ,$369.00 ,$36.00 ,$411.00 , $-   ,"$4,374.00 ",$148.00 ,"$5,338.00 ", No ,1,0,0,1,0,462,1
C1MCCK6ROE,"$257,356.00 ","$857,852.00 ","$793,513.00 ","$15,089.00 ", $-   ,"$31,896.00 ",$517.00 , $-   ,"$32,547.00 ","$10,887.00 ", $-   ,"$12,713.00 ","$94,163.00 ","$16,651.00 ","$214,463.00 ", No ,1,0,0,1,0,654,0
C1N0CMN0KL,"$165,726.00 ","$1,446,336.00 ","$708,102.00 ","$8,186.00 ", $-   ,"$8,386.00 ", $-   ,"$2,302.00 ","$53,413.00 ","$11,577.00 ", $-   ,"$5,238.00 ","$47,747.00 ","$13,811.00 ","$150,660.00 ", High ,1,0,0,1,1,577,0
C1O5ATWH88,"$88,428.00 ","$405,295.00 ","$36,845.00 ","$4,948.00 ", $-   ,"$3,086.00 ", $-   , $-   ,"$27,597.00 ","$4,721.00 ", $-   ,"$2,299.00 ","$24,980.00 ","$6,059.00 ","$73,690.00 ", No ,1,0,0,1,1,652,0
C1TMB5NMB4,"$8,147.00 ",$741.00 ,"$216,996.00 ",$417.00 ,"$2,629.00 ","$1,377.00 ", $-   , $-   ,"$1,425.00 ",$299.00 ,$962.00 , $-   , $-   ,$297.00 ,"$7,406.00 ", No ,1,0,0,1,0,407,0
C1UGBSYMRJ,"$105,049.00 ","$183,836.00 ","$595,279.00 ","$8,766.00 ", $-   ,"$12,761.00 ", $-   ,"$6,156.00 ","$11,381.00 ","$3,270.00 ", $-   ,"$4,197.00 ","$35,493.00 ","$5,517.00 ","$87,541.00 ", High ,1,0,0,1,0,545,0
C1VKCAMWP1,"$337,587.00 ","$882,919.00 ","$1,921,647.00 ","$22,635.00 ", $-   ,"$35,969.00 ", $-   , $-   ,"$38,592.00 ","$11,200.00 ", $-   ,"$15,515.00 ","$117,163.00 ","$18,608.00 ","$259,682.00 ", No ,1,1,0,1,0,699,0
C1VY8O3SPZ,"$445,075.00 ","$1,051,996.00 ","$3,439,219.00 ","$26,489.00 ","$9,911.00 ","$55,831.00 ", $-   ,"$21,462.00 ","$45,203.00 ","$10,470.00 ","$53,188.00 ","$15,068.00 ","$147,255.00 ","$19,737.00 ","$404,614.00 ", High ,1,1,1,1,0,453,1
C1WU940IZW,"$82,444.00 ","$16,489.00 ","$486,420.00 ","$4,336.00 ", $-   ,"$25,726.00 ", $-   , $-   ,"$5,556.00 ","$1,070.00 ","$16,667.00 ","$2,212.00 ","$23,985.00 ","$2,892.00 ","$82,444.00 ", No ,1,0,1,1,0,590,0
C1XHW1POG6,"$106,005.00 ","$752,636.00 ","$773,836.00 ","$6,060.00 ", $-   ,"$4,566.00 ", $-   ,"$1,016.00 ","$38,977.00 ","$4,171.00 ", $-   ,"$3,461.00 ","$38,666.00 ","$9,088.00 ","$106,005.00 ", High ,1,0,0,1,1,529,0
C1XYQGZ7YG,"$68,418.00 ","$373,188.00 ","$74,638.00 ",$883.00 , $-   ,"$9,763.00 ", $-   ,$669.00 ,"$7,621.00 ","$4,625.00 ","$15,565.00 ",$374.00 ,"$19,240.00 ","$3,458.00 ","$62,198.00 ", Low ,1,0,0,1,0,630,0
C1YHMBQFS8,"$202,715.00 ","$827,752.00 ","$3,361,687.00 ","$3,546.00 ", $-   ,"$7,107.00 ", $-   ,"$2,507.00 ","$44,710.00 ","$6,644.00 ","$57,616.00 ","$5,805.00 ","$27,029.00 ","$13,965.00 ","$168,929.00 ", High ,1,1,1,1,1,475,1
C20CBBCVCU,"$17,834.00 ","$116,914.00 ","$37,650.00 ",$580.00 , $-   ,"$2,535.00 ", $-   , $-   ,"$2,593.00 ","$2,405.00 ","$4,404.00 ",$120.00 ,"$6,199.00 ",$980.00 ,"$19,816.00 ", No ,1,0,0,1,0,644,0
C22I09SSOP,"$183,630.00 ","$535,588.00 ","$1,943,418.00 ","$8,631.00 ", $-   ,"$5,104.00 ", $-   , $-   ,"$46,030.00 ","$9,872.00 ","$41,120.00 ","$3,797.00 ","$28,551.00 ","$9,920.00 ","$153,025.00 ", No ,1,1,0,1,1,541,1
C283FM1PPN, $-   ,"$18,054.00 ","$54,162.00 ", $-   , $-   , $-   , $-   ,$493.00 ,$621.00 ,$91.00 , $-   , $-   ,"$7,447.00 ",$375.00 ,"$9,027.00 ", Low ,1,0,0,1,0,562,0
C297LLFJAJ,"$152,243.00 ","$478,478.00 ","$772,090.00 ","$4,225.00 ","$4,656.00 ","$17,741.00 ", $-   ,"$11,162.00 ","$17,563.00 ","$3,686.00 ", $-   ,"$7,731.00 ","$32,692.00 ","$9,289.00 ","$108,745.00 ", High ,1,0,0,1,0,599,0
C29HCTA0VF,"$31,753.00 ","$346,392.00 ","$49,072.00 ",$693.00 , $-   ,"$4,144.00 ", $-   , $-   ,"$3,578.00 ","$1,747.00 ","$6,639.00 ",$165.00 ,"$10,428.00 ","$1,472.00 ","$28,866.00 ", No ,1,0,0,1,0,601,0
C29N1DWJXJ,"$297,745.00 ","$893,235.00 ","$1,020,840.00 ","$14,135.00 ", $-   ,"$36,006.00 ", $-   ,"$15,550.00 ","$34,732.00 ","$12,033.00 ", $-   ,"$15,611.00 ","$65,859.00 ","$18,749.00 ","$212,675.00 ", High ,1,0,0,1,0,588,0
C2C57M3YA9,"$197,073.00 ","$1,021,195.00 ","$1,863,233.00 ","$8,416.00 ","$20,415.00 ","$7,366.00 ", $-   ,"$1,964.00 ","$42,294.00 ","$5,224.00 ","$44,960.00 ","$3,398.00 ","$34,209.00 ","$10,911.00 ","$179,157.00 ", High ,1,0,1,1,1,572,0
C2F3X6KAG1,"$45,142.00 ","$45,142.00 ","$126,398.00 ","$5,145.00 ","$5,786.00 ","$20,652.00 ",$334.00 , $-   ,"$5,403.00 ","$2,746.00 ", $-   ,"$2,202.00 ", $-   ,"$2,874.00 ","$45,142.00 ", No ,1,0,0,1,0,608,0
C2FKNTXI7M, $-   ,"$16,496.00 ","$19,795.00 ", $-   , $-   , $-   , $-   , $-   ,$768.00 ,$124.00 ,"$1,295.00 ", $-   ,"$5,607.00 ",$454.00 ,"$8,248.00 ", No ,1,0,0,1,0,596,1
C2GD9N4IZA,"$189,857.00 ","$348,071.00 ","$996,748.00 ","$13,607.00 ", $-   ,"$18,590.00 ", $-   , $-   ,"$22,366.00 ","$5,000.00 ", $-   ,"$8,136.00 ","$80,710.00 ","$9,805.00 ","$158,214.00 ", No ,1,1,0,1,0,617,0
C2GP7RIICV,"$87,990.00 ","$223,975.00 ","$63,993.00 ","$2,868.00 ", $-   ,"$3,593.00 ", $-   , $-   ,"$21,098.00 ","$4,564.00 ","$22,511.00 ","$2,268.00 ","$17,606.00 ","$5,483.00 ","$79,991.00 ", No ,1,0,0,1,1,631,0
C2QDTLDUW3,"$545,667.00 ","$873,067.00 ","$4,983,759.00 ","$33,088.00 ", $-   ,"$35,797.00 ",$412.00 ,"$15,609.00 ","$47,583.00 ","$8,850.00 ","$51,075.00 ","$14,464.00 ","$137,930.00 ","$18,970.00 ","$363,778.00 ", High ,1,1,1,1,0,538,1
C2RE8P1DQD,"$230,770.00 ","$609,893.00 ","$725,278.00 ","$7,936.00 ", $-   ,"$24,988.00 ", $-   , $-   ,"$23,179.00 ","$7,927.00 ", $-   ,"$8,535.00 ","$81,016.00 ","$11,255.00 ","$164,836.00 ", No ,1,0,0,1,0,638,0
C2RXUZY60M,"$74,577.00 ","$522,039.00 ","$149,154.00 ","$6,070.00 ", $-   ,"$8,766.00 ", $-   , $-   ,"$11,959.00 ","$7,481.00 ", $-   ,$480.00 ,"$35,786.00 ","$4,035.00 ","$74,577.00 ", No ,1,0,0,1,0,584,1
C2SXH15B7K,"$98,229.00 ","$392,916.00 ","$1,241,256.00 ","$17,615.00 ","$4,387.00 ","$16,728.00 ", $-   ,"$7,300.00 ","$20,231.00 ","$6,994.00 ", $-   ,"$7,293.00 ", $-   ,"$8,751.00 ","$89,299.00 ", High ,1,0,0,1,0,517,1
C2WIGBDCRO,"$224,036.00 ","$936,877.00 ","$1,120,180.00 ","$9,245.00 ", $-   ,"$9,034.00 ", $-   , $-   ,"$69,424.00 ","$16,997.00 ","$73,638.00 ","$7,419.00 ", $-   ,"$17,912.00 ","$203,669.00 ", No ,1,0,1,1,1,636,0
C2XCEM6G8W,"$295,637.00 ","$665,183.00 ","$2,833,186.00 ","$10,551.00 ", $-   ,"$8,769.00 ", $-   ,"$3,154.00 ","$67,448.00 ","$15,060.00 ","$71,691.00 ","$7,224.00 ","$45,123.00 ","$17,344.00 ","$246,364.00 ", High ,1,1,1,1,1,585,1
C2YW1WUDAE,"$39,822.00 ","$50,683.00 ","$242,553.00 ","$3,015.00 ","$2,391.00 ","$7,175.00 ",$148.00 ,"$4,475.00 ","$1,989.00 ",$332.00 ,"$6,854.00 ",$830.00 ,"$7,797.00 ","$1,196.00 ","$36,202.00 ", High ,1,0,0,1,0,582,0
C2YXE7PUHM,"$85,809.00 ","$288,630.00 ","$312,032.00 ",$969.00 ,"$13,713.00 ","$3,735.00 ", $-   ,"$1,217.00 ","$24,665.00 ","$3,919.00 ", $-   ,"$3,053.00 ","$19,356.00 ","$7,381.00 ","$78,008.00 ", High ,1,0,0,1,1,613,0
C2ZE9A87BY,"$371,850.00 ","$2,738,164.00 ","$405,654.00 ","$12,860.00 ","$35,981.00 ","$9,726.00 ", $-   , $-   ,"$78,291.00 ","$19,709.00 ","$78,999.00 ","$7,960.00 ","$75,308.00 ","$19,211.00 ","$338,045.00 ", No ,1,0,1,1,1,716,0
C311LUGZRH,"$287,128.00 ","$242,955.00 ","$3,136,326.00 ","$17,903.00 ","$6,629.00 ","$25,500.00 ", $-   , $-   ,"$27,310.00 ","$8,022.00 ","$35,630.00 ","$11,010.00 ","$75,630.00 ","$13,234.00 ","$220,868.00 ", No ,1,1,0,1,0,519,0
C36K3R2B44,"$35,947.00 ","$330,712.00 ", $-   ,"$1,260.00 ", $-   ,"$4,108.00 ", $-   , $-   ,"$5,023.00 ","$2,886.00 ","$8,517.00 ",$209.00 ,"$12,063.00 ","$1,881.00 ","$35,947.00 ", No ,0,0,0,1,0,648,1
C373C9WCQB,"$461,420.00 ","$1,417,220.00 ","$3,229,943.00 ","$16,469.00 ","$9,838.00 ","$37,452.00 ", $-   ,"$19,824.00 ","$40,620.00 ","$18,675.00 ","$52,912.00 ","$12,267.00 ","$101,862.00 ","$19,667.00 ","$329,586.00 ", High ,1,1,1,1,0,740,0
C37QIJOSDU,"$53,691.00 ","$10,738.00 ","$263,086.00 ","$4,642.00 ", $-   ,"$11,207.00 ", $-   , $-   ,"$3,042.00 ",$765.00 ,"$10,612.00 ","$1,536.00 ","$20,043.00 ","$1,844.00 ","$53,691.00 ", No ,1,0,1,1,0,616,1
C384PVSZ9T,"$21,767.00 ","$166,219.00 ","$35,618.00 ","$1,828.00 ", $-   ,"$4,406.00 ", $-   , $-   ,"$6,009.00 ","$5,245.00 ", $-   ,$240.00 , $-   ,"$2,060.00 ","$19,788.00 ", No ,1,0,0,1,0,619,0
C386Q2UUKB, $-   ,"$29,214.00 ","$113,782.00 ", $-   , $-   , $-   , $-   ,$571.00 ,$872.00 ,$231.00 ,"$1,230.00 ", $-   ,"$12,042.00 ",$430.00 ,"$15,376.00 ", Low ,1,0,0,1,0,582,0
C39B4IKK53,"$99,273.00 ","$148,910.00 ","$89,346.00 ","$7,158.00 ", $-   ,"$29,056.00 ", $-   , $-   ,"$9,560.00 ","$1,808.00 ", $-   ,"$4,014.00 ","$42,847.00 ","$4,830.00 ","$99,273.00 ", No ,1,0,0,1,0,676,0
C3AEUELIY4,"$177,977.00 ","$161,797.00 ","$453,032.00 ","$28,067.00 ","$8,127.00 ","$24,246.00 ", $-   , $-   ,"$9,981.00 ","$2,914.00 ","$23,415.00 ","$3,391.00 ","$57,584.00 ","$4,072.00 ","$161,797.00 ", No ,1,0,0,1,0,625,0
C3BAYT7JDN,"$42,727.00 ","$371,725.00 ","$81,181.00 ","$1,968.00 ", $-   ,"$4,248.00 ",$47.00 , $-   ,"$5,788.00 ","$3,609.00 ","$8,778.00 ",$228.00 ,"$16,114.00 ","$1,947.00 ","$42,727.00 ", No ,1,0,1,1,0,603,1
C3BTU56AAH,"$124,887.00 ","$133,213.00 ","$266,426.00 ","$7,240.00 ", $-   ,"$17,843.00 ", $-   ,"$9,073.00 ","$23,483.00 ","$8,933.00 ", $-   ,"$7,220.00 ", $-   ,"$9,466.00 ","$83,258.00 ", High ,1,0,0,1,0,593,1
C3EF5TDXN3,"$28,444.00 ","$173,249.00 ","$36,201.00 ","$1,063.00 ", $-   ,"$2,985.00 ", $-   , $-   ,"$4,438.00 ","$2,238.00 ", $-   ,$168.00 ,"$13,568.00 ","$1,398.00 ","$25,858.00 ", No ,1,0,0,1,0,553,1
C3H8GW7C04,"$557,523.00 ","$1,154,870.00 ","$2,349,563.00 ","$7,875.00 ","$10,190.00 ","$39,301.00 ", $-   ,"$18,216.00 ","$41,516.00 ","$22,045.00 ","$55,059.00 ","$17,013.00 ","$166,512.00 ","$20,504.00 ","$398,231.00 ", High ,1,1,1,1,0,732,0
C3HCLE1DRY, $-   ,"$9,707.00 ","$29,929.00 ", $-   , $-   , $-   , $-   ,$313.00 ,$625.00 ,$109.00 ,$744.00 , $-   ,"$6,042.00 ",$256.00 ,"$8,089.00 ", Low ,1,0,0,1,0,500,1
